rank,feature,mean_abs_shap
1,first_sx_tremor,1.76276
2,bradykinesia_mean,1.3465
3,study_visit_age,1.18364
4,smell,0.85711
5,moca_total,0.7768
6,yrs_education,0.65182
7,symptom_asymmetry,0.5548
8,updrs_3_10,0.50992
9,updrs_2_8,0.46239
10,updrs_2_12,0.45056
11,pdq39_mobility,0.44988
12,gender,0.43321
13,updrs_2_7,0.40228
14,pdq39_communication,0.39478
15,updrs_2_1,0.36874
16,updrs_3_14,0.35774
17,moca_attention,0.33019
18,comorbidities,0.31078
19,dreams,0.30945
20,moca_visuosp,0.30411
