Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Composite_Scores,Mbic  Capri,enrolment_group,Impulsivity/Delay Gratification (sum of Question 13-,17.7047,0.000143,0.0431,0.000214,Yes,23.0,3.304,4.204,2.0,41.0,0.634,1.714,0.0,303,1.799,2.583,1.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mbic  Capri,enrolment_group,Societal Norms (sum of Question 25-29),10.8177,0.004477,0.0242,0.005372,Yes,23.0,0.913,2.314,0.0,41.0,0.098,0.374,0.0,303,0.215,0.753,0.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mbic  Capri,enrolment_group,Beliefs/Sensory Experiences (sum of Question 30-34),8.6023,0.013553,0.0181,0.013553,Yes,23.0,0.609,1.234,0.0,41.0,0.073,0.346,0.0,303,0.172,0.693,0.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mbic  Capri,enrolment_group,MBI-C Grand Total,32.4958,0.0,0.0838,0.0,Yes,23.0,15.13,12.793,13.0,41.0,2.951,5.376,0.0,303,6.492,8.144,4.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mds Updrs,enrolment_group,Part I: Non-Motor Aspects of Experiences of Daily Li,85.7549,0.0,0.0593,0.0,Yes,56.0,14.357,8.094,12.5,83.0,5.217,5.135,4.0,1276,10.454,6.165,9.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mds Updrs,enrolment_group,Part II: Motor Aspects of Experiences of Daily Livin,224.5685,0.0,0.1576,0.0,Yes,55.0,19.236,11.075,19.0,83.0,0.904,1.979,0.0,1277,10.496,7.081,9.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mds Updrs,enrolment_group,Part III: Motor Examination,217.2932,0.0,0.1358,0.0,Yes,59.0,39.051,16.406,41.0,83.0,5.048,5.693,4.0,1446,28.452,14.945,27.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Mds Updrs,enrolment_group,Part IV: Motor Complications,128.0404,0.0,0.0893,0.0,Yes,56.0,3.054,3.887,1.0,84.0,0.036,0.327,0.0,1274,4.036,3.682,4.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Moca,enrolment_group,TOTAL SCORE (make sure to include extra point for 12,46.8721,0.0,0.0251,0.0,Yes,71.0,23.634,5.26,25.0,219.0,27.068,2.36,28.0,1504,25.122,5.106,26.0,,,,,,,,,,,,,,,,,,,,
Composite_Scores,Moca,enrolment_group,Make sure total score and calculation of total score,46.5312,0.0,0.0252,0.0,Yes,71.0,23.577,5.081,24.0,198.0,27.02,2.412,27.5,1503,25.587,3.313,26.0,,,,,,,,,,,,,,,,,,,,
