Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Motor,Mds Updrs,enrolment_group,Updrs_4_1 value,46.9296,0.0,0.0316,0.0,Yes,56.0,0.286,0.756,0.0,84.0,0.0,0.0,0.0,1287,0.461,0.751,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_4_2 value,29.3055,0.0,0.0192,0.0,Yes,57.0,0.053,0.225,0.0,84.0,0.0,0.0,0.0,1285,0.31,0.71,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_4_3 value,106.3649,0.0,0.0733,0.0,Yes,57.0,0.86,1.329,0.0,84.0,0.012,0.109,0.0,1285,0.832,0.826,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_4_4 value,73.4383,0.0,0.0502,0.0,Yes,57.0,0.86,1.394,0.0,84.0,0.012,0.109,0.0,1285,0.911,1.125,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_4_5 value,103.1581,0.0,0.0711,0.0,Yes,57.0,0.737,1.173,0.0,84.0,0.012,0.109,0.0,1284,0.986,1.133,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_4_6 value,39.0214,0.0,0.026,0.0,Yes,57.0,0.211,0.559,0.0,84.0,0.0,0.0,0.0,1284,0.517,0.99,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Clinical,determined_dx,15a. How many times did you fall?,17.8645,0.000469,0.0382,0.000469,Yes,,,,,,,,,359,7.953,39.559,2.0,4.0,1.75,0.957,1.5,1.0,1.0,,1.0,12.0,7.667,14.119,2.0,18.0,19.611,27.404,6.0,0.0,,,
Motor,Mds Updrs,determined_dx,3.C1 Minutes since last levodopa dose:  Minutes depu,18.6763,0.000319,0.013,0.000709,Yes,,,,,,,,,1188,142.471,93.569,135.0,3.0,266.0,93.215,234.0,,,,,5.0,226.2,69.891,236.0,16.0,228.812,123.899,246.0,1.0,285.0,,285.0
Motor,Mds Updrs,determined_dx,Updrs_3_1 value,54.555,0.0,0.0343,0.0,Yes,,,,,,,,,1434,0.809,0.859,1.0,8.0,0.625,0.518,1.0,,,,,9.0,2.333,0.866,2.0,21.0,2.524,1.25,3.0,6.0,0.5,0.837,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_2 value,15.7565,0.003364,0.008,0.006408,Yes,,,,,,,,,1436,1.12,0.933,1.0,8.0,1.0,0.756,1.0,,,,,9.0,1.444,1.13,1.0,21.0,1.952,0.973,2.0,6.0,0.667,0.816,0.5
Motor,Mds Updrs,determined_dx,Updrs_3_3_neck value,22.1111,0.00019,0.0123,0.000507,Yes,,,,,,,,,1429,1.335,1.181,1.0,8.0,1.625,1.598,1.5,,,,,8.0,2.0,0.756,2.0,21.0,2.381,0.865,2.0,6.0,2.0,1.673,2.5
Motor,Mds Updrs,determined_dx,Updrs_3_3_rle value,12.4074,0.014565,0.0057,0.02533,Yes,,,,,,,,,1430,1.054,1.019,1.0,8.0,2.0,1.414,2.0,,,,,8.0,1.125,0.354,1.0,21.0,1.714,1.102,2.0,6.0,1.0,0.632,1.0
Motor,Mds Updrs,determined_dx,Updrs_3_4_r value,21.7289,0.000227,0.012,0.000568,Yes,,,,,,,,,1436,1.361,1.037,1.0,8.0,2.25,1.165,2.0,,,,,9.0,2.222,1.093,3.0,21.0,2.095,1.221,2.0,6.0,0.667,0.516,1.0
Motor,Mds Updrs,determined_dx,Updrs_3_4_l value,45.1913,0.0,0.0279,0.0,Yes,,,,,,,,,1436,1.471,1.055,1.0,8.0,2.5,0.926,2.5,,,,,9.0,2.889,0.601,3.0,21.0,2.667,1.017,3.0,6.0,0.833,0.753,1.0
Motor,Mds Updrs,determined_dx,Updrs_3_5_r value,36.4967,0.0,0.022,0.0,Yes,,,,,,,,,1436,1.019,0.942,1.0,8.0,2.0,1.069,2.0,,,,,9.0,1.778,0.667,2.0,21.0,2.0,0.949,2.0,6.0,0.333,0.816,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_5_l value,37.2374,0.0,0.0225,0.0,Yes,,,,,,,,,1435,1.095,0.995,1.0,8.0,2.125,1.246,2.0,,,,,9.0,2.0,0.866,2.0,21.0,2.286,1.056,2.0,6.0,0.5,0.548,0.5
Motor,Mds Updrs,determined_dx,Updrs_3_6_r value,28.9238,8e-06,0.0169,2.5e-05,Yes,,,,,,,,,1434,1.091,0.972,1.0,8.0,2.5,1.069,3.0,,,,,9.0,1.778,0.667,2.0,21.0,1.81,1.167,2.0,6.0,0.333,0.516,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_6_l value,33.0059,1e-06,0.0197,4e-06,Yes,,,,,,,,,1436,1.249,1.036,1.0,8.0,2.5,1.195,3.0,,,,,9.0,2.444,0.726,3.0,21.0,2.095,1.3,2.0,6.0,0.5,1.225,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_7_r value,29.011,8e-06,0.017,2.5e-05,Yes,,,,,,,,,1434,1.07,1.07,1.0,8.0,2.125,0.991,2.0,,,,,9.0,2.111,1.453,3.0,21.0,2.19,1.25,2.0,6.0,0.833,0.753,1.0
Motor,Mds Updrs,determined_dx,Updrs_3_7_l value,32.7001,1e-06,0.0195,4e-06,Yes,,,,,,,,,1436,1.258,1.141,1.0,8.0,2.125,1.246,2.0,,,,,9.0,2.778,1.202,3.0,21.0,2.381,1.071,2.0,6.0,1.333,0.816,1.5
Motor,Mds Updrs,determined_dx,Updrs_3_8_r value,42.0575,0.0,0.0259,0.0,Yes,,,,,,,,,1431,0.76,0.882,1.0,8.0,2.125,1.246,2.0,,,,,9.0,2.111,0.928,2.0,21.0,1.667,1.238,1.0,6.0,0.167,0.408,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_8_l value,40.365,0.0,0.0247,0.0,Yes,,,,,,,,,1434,0.875,0.959,1.0,8.0,2.125,0.991,2.0,,,,,9.0,2.333,0.866,3.0,21.0,1.857,1.236,2.0,6.0,0.833,0.753,1.0
Motor,Mds Updrs,determined_dx,Updrs_3_9 value,64.5964,0.0,0.0411,0.0,Yes,,,,,,,,,1435,0.381,0.734,0.0,8.0,1.125,1.126,1.0,,,,,9.0,1.778,1.641,2.0,21.0,1.905,1.261,2.0,6.0,0.333,0.816,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_10 value,39.9823,0.0,0.0245,0.0,Yes,,,,,,,,,1432,1.018,0.872,1.0,8.0,1.625,1.061,1.5,,,,,9.0,2.444,1.424,3.0,21.0,2.429,1.248,3.0,6.0,0.833,1.169,0.5
Motor,Mds Updrs,determined_dx,Updrs_3_11 value,24.8345,5.4e-05,0.0141,0.000154,Yes,,,,,,,,,1436,0.117,0.423,0.0,8.0,0.375,0.744,0.0,,,,,9.0,0.111,0.333,0.0,21.0,0.81,1.25,0.0,6.0,0.167,0.408,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_12 value,21.1637,0.000294,0.0117,0.000692,Yes,,,,,,,,,1430,0.605,1.012,0.0,8.0,1.5,1.69,1.0,,,,,8.0,2.0,1.927,2.0,21.0,1.714,1.586,2.0,6.0,0.333,0.816,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_13 value,18.3649,0.001047,0.0097,0.002204,Yes,,,,,,,,,1435,0.952,0.931,1.0,8.0,1.75,1.165,1.5,,,,,9.0,0.889,1.364,0.0,21.0,1.81,1.123,2.0,6.0,0.833,1.169,0.5
Motor,Mds Updrs,determined_dx,Updrs_3_14,46.969,0.0,0.0292,0.0,Yes,,,,,,,,,1436,1.196,0.949,1.0,8.0,2.25,1.389,3.0,,,,,8.0,1.625,0.916,1.0,21.0,2.762,0.768,3.0,6.0,1.0,1.265,0.5
Motor,Mds Updrs,determined_dx,Updrs_3_16_r value,11.9888,0.017435,0.0054,0.029058,Yes,,,,,,,,,1435,0.578,0.74,0.0,8.0,0.125,0.354,0.0,,,,,9.0,0.111,0.333,0.0,21.0,0.333,0.658,0.0,6.0,0.167,0.408,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_17_rue value,14.3963,0.006132,0.007,0.011149,Yes,,,,,,,,,1436,0.627,0.922,0.0,8.0,0.25,0.463,0.0,,,,,9.0,0.0,0.0,0.0,21.0,0.19,0.68,0.0,6.0,0.167,0.408,0.0
Motor,Mds Updrs,determined_dx,Updrs_3_18 value,17.209,0.00176,0.009,0.00352,Yes,,,,,,,,,1436,1.096,1.346,1.0,8.0,0.5,0.535,0.5,,,,,9.0,0.444,1.333,0.0,21.0,0.238,0.7,0.0,6.0,0.333,0.516,0.0
Motor,Mds Updrs,determined_dx,Updrs_4_5 value,11.5315,0.021197,0.0059,0.033915,Yes,,,,,,,,,1242,0.986,1.132,1.0,8.0,0.375,1.061,0.0,,,,,7.0,0.571,0.787,0.0,20.0,0.9,1.334,0.0,6.0,0.167,0.408,0.0
Non-Motor,Epidemiological,enrolment_group,12a. Since when have you had trouble staying asleep?,7.8685,0.01956,0.0107,0.03912,Yes,34.0,68.647,344.772,5.0,55.0,12.655,12.993,10.0,465,218.55,615.866,5.0,,,,,,,,,,,,,,,,,,,,
Non-Motor,Epidemiological,enrolment_group,13a. Since when have you had trouble dozing off or f,11.4643,0.00324,0.0092,0.01296,Yes,48.0,89.271,404.704,3.5,76.0,41.171,224.245,10.0,906,215.908,611.481,5.0,,,,,,,,,,,,,,,,,,,,
Non-Motor,Mds Updrs,enrolment_group,Updrs_1_2 value,14.5283,0.0007,0.0088,0.0021,Yes,56.0,0.304,0.658,0.0,84.0,0.012,0.109,0.0,1292,0.151,0.454,0.0,,,,,,,,,,,,,,,,,,,,
Non-Motor,Mds Updrs,enrolment_group,Updrs_1_5 value,11.6626,0.002934,0.0068,0.004401,Yes,56.0,0.75,1.179,0.0,84.0,0.179,0.47,0.0,1290,0.479,0.844,0.0,,,,,,,,,,,,,,,,,,,,
