rank,feature,mean_abs_shap
1,study_visit_age,0.96275
2,bradykinesia_mean,0.50599
3,dreams,0.50482
4,moca_total,0.4137
5,smell,0.41213
6,first_sx_tremor,0.4027
7,yrs_education,0.36772
8,updrs_2_8,0.32067
9,symptom_asymmetry,0.30741
10,pdq39_communication,0.29346
11,gender,0.29166
12,updrs_3_14,0.25454
13,pdq39_mobility,0.20368
14,moca_attention,0.20329
15,updrs_3_10,0.18781
16,updrs_2_12,0.1867
17,updrs_2_1,0.18416
18,updrs_2_7,0.16318
19,moca_visuosp,0.16024
20,comorbidities,0.08968
