rank,feature,mean_abs_shap
1,first_sx_tremor,1.27994
2,bradykinesia_mean,0.77659
3,smell,0.69807
4,study_visit_age,0.64627
5,moca_total,0.41815
6,symptom_asymmetry,0.37504
7,updrs_3_10,0.35842
8,gender,0.35089
9,yrs_education,0.33308
10,updrs_2_8,0.33086
11,comorbidities,0.30083
12,updrs_2_1,0.26713
13,moca_attention,0.25356
14,updrs_2_12,0.25301
15,updrs_2_7,0.24321
16,pdq39_communication,0.23755
17,pdq39_mobility,0.23688
18,updrs_3_14,0.22343
19,dreams,0.21789
20,moca_visuosp,0.18942
